Sub-Category,avg_discount
Binders,0.3722915298752447
Machines,0.30608695652173884
Tables,0.26128526645768047
Bookcases,0.211140350877193
Chairs,0.17017828200972449
Appliances,0.16652360515021464
Copiers,0.16176470588235295
Phones,0.15455568053993343
Furnishings,0.13834900731452457
Fasteners,0.08202764976958511
Envelopes,0.0803149606299211
Accessories,0.07845161290322622
Supplies,0.0768421052631578
Paper,0.07489051094890578
Art,0.07487437185929686
Storage,0.07470449172576875
Labels,0.06868131868131852
